Date,score,VIX,2w_score,3w_score,4w_score,3D_vix,5D_vix,8D_vix,10D_vix,15D_vix,20D_vix,3_c_5,3_c_10,5_c_10,10_c_15,10_c_20,10_c_25,10_c_30,20_c_30,20_c_40,20_c_50,20_c_60,30_c_50,30_c_60,30_c_70,40_c_60,40_c_70,40_c_80,50_c_70,50_c_80,60_c_80,60_c_90,volume_score,3D_volume,5D_volume,8D_volume,10D_volume,15D_volume,20D_volume,close
2015-12-16,-0.3938145728,-0.7628823721853877,-0.4104269428799989,-0.42852656010842416,-0.47514567323333734,-0.6727079773540734,-0.6420097465803032,-0.6665717390138687,-0.682130951308768,-0.710788313491271,-0.7222086418244082,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3203226462010549,-0.4041615519487609,-0.4429911210174199,-0.4777846018515325,-0.4339681960668347,-0.5623447576511054,-0.6311543997670576,208.029999
2015-12-17,-0.3938145728,-0.7335145959615339,-0.4062877734199989,-0.4228139822391421,-0.46356707125884633,-0.7092451309759212,-0.6444621483772758,-0.6539603686226713,-0.6793517318620593,-0.7019095243315343,-0.7184255949174412,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4221449524553308,-0.41736499793463877,-0.39275642811894984,-0.43361870007436065,-0.4303019878811226,-0.512835205750855,-0.6145285653186626,204.860001
2015-12-18,-0.3938145728,-0.6856559976708092,-0.40214860395999874,-0.41710140436986,-0.4519884692843553,-0.7116552340934843,-0.667085599250965,-0.641348998231474,-0.659629315813464,-0.6886978872172721,-0.711710235543022,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.08889709348164021,-0.2790832437851474,-0.3572872970367319,-0.34162617820649066,-0.3990863467155973,-0.4291484359717631,-0.5649630857250408,200.020004
2015-12-21,-0.3938145728,-0.7400407684557236,-0.3980094344999988,-0.41138882650057795,-0.4404098673098642,-0.7035572876184716,-0.6917936029944676,-0.6450510444746815,-0.6500527249739381,-0.6826129539337606,-0.7058637094922926,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.7370801604080638,-0.41821579732086056,-0.430739339792758,-0.38097049452621534,-0.4006518367738442,-0.43451516115465527,-0.5619857504882706,201.669998
2015-12-22,-0.46027840799999986,-0.7971448049722691,-0.40381684567999876,-0.4130614644698919,-0.4321671707762169,-0.7261158624392768,-0.7184635453424038,-0.6561978650311525,-0.6534011821386477,-0.6780433383314469,-0.7040898414564266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6862981764169502,-0.5064021198744015,-0.46869817631829347,-0.38414173323025946,-0.3965663390215902,-0.42936758650187046,-0.5468236091254711,203.5
2015-12-23,-0.46027840799999986,-0.8251529619265001,-0.4096242568599988,-0.41473410243920583,-0.43120523931821564,-0.7755711880520892,-0.7325035868611794,-0.6920792322432888,-0.6669289524325308,-0.6788483483339272,-0.7047414664491937,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6864641598207379,-0.7058970996033245,-0.5445655825762685,-0.4464056401672205,-0.42401061599299006,-0.42837233974018496,-0.5417929195454381,206.020004
2015-12-24,-0.46027840799999986,-0.8205302564097825,-0.41543166803999887,-0.4164067404085199,-0.43024330786021436,-0.8041068186044515,-0.7521228564161377,-0.7205158292103441,-0.6789833982254845,-0.6844597439541856,-0.7037459282657995,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.9522401907532348,-0.777727272834168,-0.6544054922925404,-0.5295883369916475,-0.460088895178023,-0.4743777669173215,-0.5411756767601659,205.679993
2015-12-28,-0.46027840799999986,-0.7887151655006075,-0.4212390792199989,-0.4180793783778338,-0.4292813764022133,-0.801118290738673,-0.7753594276648846,-0.7369512913252941,-0.7040298544690534,-0.6794876233506318,-0.7005059039962076,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.8783550193487705,-0.8418445546352076,-0.8179873942550502,-0.5843842617303064,-0.5376339249883471,-0.5240302560915789,-0.5327564696351591,205.210007
2015-12-29,-0.3790142606,-0.811284845376347,-0.4189200756599988,-0.4143306404601137,-0.42424069278310905,-0.7962016803788438,-0.791422705724254,-0.7441926605724983,-0.7262970946143706,-0.6789193809959401,-0.7005964056573559,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.7645465833486726,-0.8679120077736826,-0.823678653481812,-0.6492523045987716,-0.5855383584759135,-0.5276996006078153,-0.5387013245687323,207.399994
2015-12-30,-0.3790142606,-0.7783820318590884,-0.4174400444399988,-0.4127835633806919,-0.42142034363154457,-0.7812590314095387,-0.7871922959174474,-0.75090516200249,-0.7385524478372067,-0.6796533583364072,-0.6958540219554816,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.8893448230733956,-0.8469146824404747,-0.8657515183665216,-0.7174754206919572,-0.6339805288308688,-0.5433578395273685,-0.5488757101996945,205.929993
